Model,Score
allknowingroger/Qwen2.5-7B-task4,477.0
allknowingroger/Qwen2.5-7B-task7,432.0
allknowingroger/Qwen2.5-7B-task8,456.0
allknowingroger/QwenSlerp12-7B,471.0
allknowingroger/Qwenslerp2-7B,469.0
allknowingroger/Qwenslerp3-7B,480.0
allknowingroger/ROGERphi-7B-slerp,257.0
allknowingroger/RogerMerge-7B-slerp,262.0
allknowingroger/Strangecoven-7B-slerp,292.0
allknowingroger/WestlakeMaziyar-7B-slerp,269.0
allknowingroger/YamMaths-7B-slerp,277.0
allknowingroger/limyClown-7B-slerp,263.0
allura-org/MoE-Girl-1BA-7BT,155.0
allura-org/Teleut-7b,433.0
amazon/MegaBeam-Mistral-7B-300k,221.0
arcee-ai/Arcee-Maestro-7B-Preview,406.0
argilla/notus-7b-v1,259.0
argilla/notux-8x7b-v1,299.0
automerger/YamshadowExperiment28-7B,259.0
awnr/Mistral-7B-v0.1-signtensors-1-over-2,236.0
awnr/Mistral-7B-v0.1-signtensors-1-over-4,192.0
awnr/Mistral-7B-v0.1-signtensors-3-over-8,229.0
aws-prototyping/MegaBeam-Mistral-7B-512k,213.0
berkeley-nest/Starling-LM-7B-alpha,256.0
bigscience/bloom-7b1,145.0
braindao/DeepSeek-R1-Distill-Qwen-7B,149.0
braindao/DeepSeek-R1-Distill-Qwen-7B-Blunt,155.0
braindao/DeepSeek-R1-Distill-Qwen-7B-ORPO-Uncensored,149.0
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,147.0
bunnycore/CyberCore-Qwen-2.1-7B,475.0
bunnycore/DeepThinker-7B-Sce-v1,142.0
bunnycore/DeepThinker-7B-Sce-v2,142.0
bunnycore/FuseCyberMix-Qwen-2.5-7B-Instruct,480.0
bunnycore/FuseQwQen-7B,476.0
bunnycore/FwF-Qwen-7B-0.2,458.0
bunnycore/Maestro-S1k-7B-Sce,143.0
bunnycore/Qandora-2.5-7B-Creative,491.0
bunnycore/QandoraExp-7B,474.0
bunnycore/QandoraExp-7B-Persona,469.0
