Model,Score
allknowingroger/Gemma2Slerp1-2.6B,0.17098445595854922
allknowingroger/Gemma2Slerp2-27B,0.306439674315322
allknowingroger/Gemma2Slerp3-27B,0.31236121391561805
allknowingroger/Gemma2Slerp4-27B,0.3160621761658031
allknowingroger/GemmaSlerp5-10B,0.29459659511472985
allknowingroger/Mistralmash1-7B-s,0.2005921539600296
allknowingroger/MultiMash2-12B-slerp,0.19763138415988157
allknowingroger/Quen2-65B,0.09030347890451518
allknowingroger/QwenSlerp12-7B,0.34863064396743154
allknowingroger/QwenSlerp4-14B,0.4700222057735011
allknowingroger/Strangecoven-7B-slerp,0.2161361954108068
allknowingroger/llama3AnFeng-40B,0.15025906735751296
altomek/YiSM-34B-0rn,0.3441894892672095
arcee-ai/Arcee-Nova,0.4411547002220577
arcee-ai/SuperNova-Medius,0.41450777202072536
arshiaafshani/Arsh-V1,0.38638045891931905
baconnier/Napoleon_24B_V0.2,0.31014063656550706
bamec66557/MISCHIEVOUS-12B-Mix_III_IV_V,0.22501850481125094
bamec66557/VICIOUS_MESH-12B_Razor,0.22871946706143598
benhaotang/phi4-qwq-sky-t1,0.3737971872686899
bunnycore/Phi-4-Model-Stock-v2,0.3915618060695781
bunnycore/Qwen2.5-7B-RRP-1M-Thinker,0.17394522575869725
cluebbers/Llama-3.1-8B-paraphrase-type-generation-apty-ipo,0.17764618800888232
cognitivecomputations/Dolphin3.0-R1-Mistral-24B,0.24944485566247224
cognitivecomputations/dolphin-2.9.1-yi-1.5-34b,0.35233160621761656
cognitivecomputations/dolphin-2.9.3-Yi-1.5-34B-32k,0.3449296817172465
cognitivecomputations/dolphin-2.9.3-mistral-7B-32k,0.16284233900814213
crestf411/MN-Slush,0.20873427091043673
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0.17172464840858623
djuna/Gemma-2-gemmama-9b,0.23612139156180606
djuna/MN-Chinofun-12B-4,0.20503330866025166
dnhkng/RYS-Phi-3-medium-4k-instruct,0.3153219837157661
duyhv1411/Llama-3.2-1B-en-vi,0.0851221317542561
duyhv1411/Llama-3.2-3B-en-vi,0.08364174685418209
ehristoforu/fd-lora-merged-64x128,0.12953367875647667
ehristoforu/fp4-14b-v1-fix,0.38860103626943004
ehristoforu/moremerge,0.08290155440414508
ehristoforu/moremerge-upscaled,0.08142116950407106
