Model_Name,Theta_ATLAS,Theta_WLE,SE,Num_Items,Time_Taken_Sec
Delcos/Velara-11B-v3,-1.07299044762001,-1.26620779010525,0.137870650600128,30,11.6576111316681
DenLabs/llama-3-7B-DenBot,-1.33994071690338,-1.41211554720698,0.140032012354839,30,11.6570651531219
dfurman/Llama-3-70B-Orpo-v0.1,-0.541456316351962,-0.405117280425514,0.109192203580085,30,11.6238946914673
dfurman/Llama-3-8B-Orpo-v0.1,-1.01207213658313,-0.94839831834814,0.13240861097483,30,11.5965492725372
DreadPoor/CeramicMaiden-7B-Slerp,1.24398186780162,1.31750274539944,0.0650500894702763,30,11.6216051578522
DreadPoor/Chimera-7B-TIES,0.500804610056766,0.29410611378997,0.0663215987775357,30,11.6373217105865
DreadPoor/GoldenMaiden-7B-model_stock,1.49926123760235,1.48372141158988,0.0647868447448937,30,11.6387264728546
DreadPoor/Griffon-7B-Model_Stock,1.25118236642666,1.31744011763653,0.0630640406989889,30,11.6430037021637
DreadPoor/Nynph-7B-Model_Stock,0.411142763144161,0.412732454062032,0.0657193264241026,30,11.6427397727966
DreadPoor/SilverMaiden-7B-slerp,1.00562423937951,1.166028306468,0.065951973937025,30,11.6478872299194
DreadPoor/Siren-7B-slerp,0.75042657261887,0.82748932544749,0.0587441716652329,30,11.6436507701874
DreadPoor/PAIN_LeDestroy-7B-task_arithmetic,0.49930999812441,0.566395643890862,0.0635103486139175,30,11.6628296375275
dreamgen/llama3-8b-instruct-align-test1-kto,-1.07614799933876,-1.01758247590339,0.132814550826997,30,11.6312713623047
dreamgen/llama3-8b-instruct-align-test2-kto,-1.05572328017033,-1.01813909828195,0.132738717564791,30,11.6798784732819
dreamgen/opus-v1.2-llama-3-8b,-1.08442409588587,-1.00622868411344,0.136907645991141,30,11.5892767906189
dreamgen/WizardLM-2-7B,0.415765297715859,-0.24202658339444,0.065511109163064,30,11.6365051269531
DUAL-GPO-2/phi-2-gpo-renew2-b0.001-extra-v2-i1,-1.15073991332977,-1.00165568013219,0.134507679567079,30,11.6027131080627
DUAL-GPO-2/phi-2-gpo-renew2-b0.001-v2-i1,-1.23449904596593,-1.06313805220866,0.133405713284664,30,11.5392484664917
DUAL-GPO-2/phi-2-gpo-renew2-i0,-1.25769816445158,-0.973297300709726,0.133437335682625,30,11.6388800144196
DUAL-GPO-2/phi-2-ipo-renew1,-1.16040087751828,-0.961651244132632,0.144934700219523,30,11.5948567390442
DUAL-GPO-2/phi-2-ipo-test-iter-0,-1.14250849860667,-1.0087068788179,0.132998738711049,30,11.642254114151
DUAL-GPO-2/zephyr-7b-gpo-v6-i1,-0.0375779454557655,-0.0128091583695987,0.103772851312492,30,11.6511869430542
