"X","a1","d","g","u"
"X57",2.25722293443236,2.07736187102519,0.161152913401845,1
"X58",4.21325980892408,2.00558680800065,0.874003095684679,1
"X59",4.66432223439844,-3.45373256724729,0.0539855166823023,1
"X60",1.843144489482,1.36015850074958,0.114606379623152,1
"X61",-0.365474175840438,-2.69995337788109,0.00105507943711723,1
"X62",2.33562027232135,3.52069365919577,0.621778395291783,1
"X64",0.365065444026883,1.5585617832302,0.0576961930295439,1
"X65",0.852787708965622,-6.36635795779232,0.000646254778777783,1
"X67",2.2990872907431,4.73559622822891,0.479667207396748,1
"X68",8.21574883172442,-5.00034135494576,0.419508262098864,1
"X69",0.0565132962488816,-0.650258471168787,0.0628300648079837,1
"X70",3.08056182348031,8.27929988565515,0.454563739947437,1
"X72",-1.22110806710329,-5.52487184060441,0.0018126586467729,1
"X73",1.53825127516295,5.84096464580247,0.0817736799162759,1
"X76",4.08555347821094,2.48347526413448,0.49464413721277,1
"X77",-0.369741542063437,-1.17360683161424,0.0013855131302907,1
"X78",4.6459316646628,6.43727375729261,0.721206062978781,1
"X82",0.827424810600451,1.06547271531355,0.0295517644073604,1
"X84",2.67778121154762,-0.454379321743705,0.303989693232697,1
"X85",4.39552601767161,6.34154758376283,0.606147011930148,1
"X86",4.7014548789636,-2.89906392595355,0.301551495079504,1
"X88",7.89759540594389,-9.98327689151826,0.621632179963406,1
"X89",-1.44159246520433,-6.54706298994162,0.000116546255524258,1
"X90",-1.09598769544522,-5.2404581666906,0.000413089714877933,1
"X91",1.87976467807328,7.48205626010148,0.207236543906433,1
"X93",2.91124600178543,1.53162325703498,0.320654671718743,1
"X94",2.46837636187585,1.74972978757841,0.444198479078129,1
"X95",3.78070405748087,4.75653129366624,0.337348902922088,1
"X96",2.52674398314343,0.998396114002129,0.112272119144683,1
"X97",4.95421949740359,-2.6257103564169,0.389813429868288,1
"X98",2.99854622426042,4.90967081740187,0.794313967050173,1
"X99",5.95247342547574,-4.29605505462434,0.103576797674722,1
"X100",1.67191311311154,5.57509590880143,0.114051999672399,1
"X103",11.7863778631907,-2.53262697246933,0.634014954031309,1
"X105",7.60255008568684,-9.91780999377052,0.0955177289262696,1
"X106",4.94427805036339,10.7278950163114,0.593253835448361,1
"X107",-2.75793056855733,-10.5916953135281,0.000800007067808903,1
"X108",3.98333329508157,-3.43055969564581,0.363912143212492,1
"X109",3.38891522032658,8.66622912640112,0.704256608607927,1
"X111",0.0891985607340875,0.599141755324597,0.0618952779595586,1
"X112",-2.55187274006209,-10.8560719247086,0.00084508161288929,1
"X114",1.38255918865301,-3.34370708464149,0.0457923203644016,1
